,"fecha","CVE_ENT","maiz_blanco","maiz_blanco_anom_3","maiz_blanco_anom_6"
"50","2001-01-01","31",1.8,0.9664935314,0.3301751467
"51","2001-01-01","32",1.8,0.7909836365,0.7031190371
"52","2001-01-01","01",2,0.1930851499,0.9338165776
"53","2001-01-01","10",2.2,0.1796632257,0.8246715986
"54","2001-01-01","07",2.3,0.7589227954,0.8933195873
"55","2001-01-01","05",2.2,0.4114456425,0.9630712427
"56","2001-01-01","30",1.8,0.1681888251,0.0269710021
"57","2001-01-01","22",1.65,0.9163898475,0.4527037889
"58","2001-01-01","24",1.7,0.4083265102,0.4342433393
"59","2001-01-01","14",1.6,0.8396455807,0.8072190353
"60","2001-01-01","03",2.2,0.8620010386,0.2847779153
"61","2001-01-01","09",2,0.0380982785,0.3086716594
"62","2001-01-01","15",2.2,0.2343112851,0.6114472894
"63","2001-01-01","16",1.6,0.2608925946,0.4935132911
"64","2001-01-01","18",2,0.1037931574,0.8231256218
"65","2001-01-01","20",1.95,0.0903619817,0.7070558095
"66","2001-01-01","21",2,0.5647987249,0.6750486639
"67","2001-01-01","25",2,0.6423357285,0.1900528976
"68","2001-01-01","11",1.9,0.5577276637,0.7953287993
"69","2001-01-01","11",2,0.2609954487,0.3623621012
"70","2001-01-01","26",2,0.0182932101,0.4633196428
"71","2001-01-01","26",2,0.1312886709,0.8224778636
"72","2001-01-01","19",2,0.6498274412,0.0794687136
"73","2001-01-01","19",1.75,0.1774493539,0.2040972035
"74","2001-01-01","31",1.8,0.7005570697,0.2352274965
"75","2001-01-01","32",1.8,0.1872774498,0.089598502
"76","2001-01-01","01",2,0.4182043491,0.8331558383
"77","2001-01-01","10",2,0.0155567271,0.5869447957
"78","2001-01-01","07",1.3,0.375079992,0.9549866392
"79","2001-01-01","05",2.2,0.2198396213,0.5596724754
"80","2001-01-01","30",1.8,0.9209002678,0.85041657
"81","2001-01-01","22",1.7,0.2797126161,0.0071865687
"82","2001-01-01","24",1.7,0.5594631762,0.5586051857
"83","2001-01-01","03",2.2,0.5103866409,0.9012765023
"84","2001-01-01","14",1.6,0.7653203879,0.0480386927
"85","2001-01-01","09",2,0.5654178574,0.0771833842
"86","2001-01-01","15",2,0.0687664865,0.304736902
"87","2001-01-01","16",1.6,0.9824095185,0.6457286515
"88","2001-01-01","18",1.9,0.1861110401,0.1232596253
"89","2001-01-01","20",2,0.8181778438,0.3615780316
"90","2001-01-01","21",2,0.4272879458,0.6060615454
"91","2001-01-01","25",1.8,0.4923594137,0.4168880595
"92","2001-01-01","11",1.9,0.3715829945,0.3092983751
"93","2001-01-01","11",2,0.2609047735,0.7849195767
"94","2001-01-01","26",2,0.4641658146,0.2952360162
"95","2001-01-01","26",2,0.2507546515,0.6076042678
"96","2001-01-01","28",2,0.1208964534,0.1101421777
"97","2001-01-01","19",2,0.7680935272,0.4363616968
"98","2001-01-01","19",1.8,0.8917498026,0.2505361782
"99","2001-01-01","31",1.8,0.2571373403,0.9073370897
"100","2001-01-01","32",1.8,0.0368914051,0.4085944499
"101","2001-01-01","01",2,0.5739538983,0.2591858443
"102","2001-01-01","10",2,0.4282784853,0.6719689692
"103","2001-01-01","07",1.3,0.8084362193,0.3153930257
"104","2001-01-01","05",2.2,0.818336079,0.3204472187
"105","2001-01-01","30",1.8,0.6484998412,0.5271575996
"106","2001-01-01","22",1.8,0.8174136828,0.6154003278
"107","2001-01-01","24",1.7,0.5000955123,0.5130128374
"108","2001-01-01","14",1.6,0.9180471219,0.3563831207
"109","2001-01-01","03",2.5,0.305443859,0.3712935698
"110","2001-01-01","15",2,0.2694541127,0.9578481634
"111","2001-01-01","09",2,0.5880740132,0.6494796816
"112","2001-01-01","16",1.7,0.6993431361,0.7267558955
"113","2001-01-01","18",2,0.6401756021,0.9162605271
"114","2001-01-01","20",2,0.2991633219,0.7015644661
"115","2001-01-01","21",1.9,0.9717417984,0.8785990068
"116","2001-01-01","11",1.9,0.5337412249,0.2615422256
"117","2001-01-01","11",2,0.8089718319,0.3079103298
"118","2001-01-01","25",2.5,0.4019798659,0.0764907847
"119","2001-01-01","26",2,0.3419885599,0.9749996584
"120","2001-01-01","26",2,0.8081523014,0.7409341469
"121","2001-01-01","28",2,0.3598088466,0.2925357052
"122","2001-01-01","19",1.8,0.9349601979,0.0076033713
"123","2001-01-01","19",1.8,0.2666607125,0.638256372
"124","2001-01-01","31",1.8,0.822259477,0.9530027511
"125","2001-01-01","32",1.8,0.8283911271,0.4393676012
"126","2001-02-01","01",2,0.8407314492,0.3970055471
"127","2001-02-01","10",2,0.0238522487,0.5268095454
"128","2001-02-01","07",1.3,0.2614713876,0.7036921079
"129","2001-02-01","05",2.2,0.6695479365,0.0860550623
"130","2001-02-01","30",1.8,0.4339546382,0.7255832286
"131","2001-02-01","22",1.7,0.3944752117,0.8600153094
"132","2001-02-01","24",1.7,0.3188675361,0.8154613055
"133","2001-02-01","14",1.6,0.2031409118,0.4386135264
"134","2001-02-01","03",2.5,0.7254047114,0.5426075145
"135","2001-02-01","15",2,0.5459994258,0.4810815909
"136","2001-02-01","09",2,0.3215393841,0.2405066643
"137","2001-02-01","16",1.7,0.7200080276,0.7240330386
"138","2001-02-01","18",1.9,0.9939117553,0.5096697082
"139","2001-02-01","20",1.9,0.5680946279,0.2347534272
"140","2001-02-01","21",1.9,0.3363842845,0.3716720942
"141","2001-02-01","25",1.8,0.3059727903,0.0882508722
"142","2001-02-01","11",1.9,0.6291418844,0.5480322725
"143","2001-02-01","11",2,0.8384216698,0.6779008628
"144","2001-02-01","26",2,0.2125254874,0.9957361127
"145","2001-02-01","26",2,0.9786203363,0.9285023219
"146","2001-02-01","19",2,0.4853301923,0.0324442215
"147","2001-02-01","19",1.75,0.5297115505,0.5360489618
"148","2001-02-01","31",1.8,0.7586043511,0.7663067438
"149","2001-02-01","32",1.8,0.62009224,0.0769172338
"150","2001-02-01","01",2,0.6949638413,0.1677728946
"151","2001-02-01","10",2.2,0.0264436379,0.0437882914
"152","2001-02-01","07",1.3,0.348202303,0.5175017192
"153","2001-02-01","05",2.2,0.7955781808,0.7740242135
"154","2001-02-01","30",1.8,0.8094589171,0.0118793603
"155","2001-02-01","22",1.7,0.0616965397,0.855959257
"156","2001-02-01","24",1.7,0.9163541488,0.6320499712
"157","2001-02-01","03",2.5,0.6705349463,0.2568938093
"158","2001-02-01","14",1.6,0.8148486986,0.7930898887
"159","2001-02-01","15",2,0.0863833095,0.7800347596
"160","2001-02-01","09",2,0.4643560205,0.2084819562
"161","2001-02-01","16",1.7,0.8186679609,0.4553338579
"162","2001-02-01","18",2,0.6007973572,0.3260222077
"163","2001-02-01","20",1.9,0.1356540115,0.5217598772
"164","2001-02-01","21",1.9,0.9690909123,0.9787923032
"165","2001-02-01","11",1.9,0.0985784714,0.5027484635
"166","2001-02-01","11",1.8,0.1125251969,0.5132646675
"167","2001-02-01","25",1.8,0.5253090768,0.5867291982
"168","2001-02-01","26",2,0.4753768907,0.6719916861
"169","2001-02-01","26",2,0.7039205508,0.2314466426
"170","2001-02-01","28",2,0.8484691412,0.9719130514
"171","2001-02-01","19",1.8,0.9404082657,0.35758493
"172","2001-02-01","19",1.8,0.1513097055,0.4653739064
"173","2001-02-01","31",1.8,0.7741896706,0.1924148046
"174","2001-02-01","32",1.75,0.5048389893,0.523431283
"175","2001-02-01","01",2,0.3783056004,0.5908750648
"176","2001-02-01","10",2,0.3926926381,0.7606447839
"177","2001-02-01","28",3.8,0.3231050074,0.9260718665
"178","2001-02-01","07",1.3,0.8207478025,0.3036339828
"179","2001-02-01","05",2,0.439162544,0.1078661361
"180","2001-02-01","30",1.8,0.4782454103,0.4544311858
"181","2001-02-01","22",1.8,0.8600182836,0.2714901372
"182","2001-02-01","24",1.7,0.6336758409,0.0609143091
"183","2001-02-01","14",1.6,0.01828106,0.3177755834
"184","2001-02-01","03",2.2,0.9438165499,0.8168231284
"185","2001-02-01","09",2,0.8103887694,0.2446111777
"186","2001-02-01","15",2,0.8818945212,0.3779628733
"187","2001-02-01","16",1.7,0.4587135765,0.9583743635
"188","2001-02-01","18",1.9,0.878084534,0.4905188221
"189","2001-02-01","20",1.9,0.9052587693,0.908803657
"190","2001-02-01","21",1.9,0.3289593264,0.2264976745
"191","2001-02-01","25",1.8,0.2629045434,0.7831325827
"192","2001-02-01","11",1.9,0.6250081781,0.6881019193
"193","2001-02-01","11",2,0.7817410746,0.4356447729
"194","2001-02-01","26",2,0.5654838706,0.9757510593
"195","2001-02-01","26",2,0.624752292,0.6639017799
"196","2001-02-01","19",1.5,0.8568416391,0.9471492442
"197","2001-02-01","19",1.7,0.5670699765,0.9817263663
"198","2001-02-01","31",1.8,0.2075714,0.5322760175
"199","2001-02-01","32",1.8,0.3131452419,0.2070652933
"200","2001-02-01","01",2,0.1499069107,0.6142513122
"201","2001-02-01","10",2,0.87716806,0.6906068481
"202","2001-02-01","07",1.3,0.7269123134,0.4860650465
"203","2001-02-01","05",2,0.601352775,0.6130592235
"204","2001-02-01","30",1.8,0.5956432089,0.1655283989
"205","2001-02-01","22",1.8,0.0099588394,0.2810691325
"206","2001-02-01","24",1.7,0.9876005564,0.4099576979
"207","2001-02-01","14",1.6,0.7700332895,0.8675835965
"208","2001-02-01","03",2.2,0.0788073732,0.3489090831
"209","2001-02-01","09",2,0.5986504291,0.5204231665
"210","2001-02-01","15",2,0.5577669707,0.6570314991
"211","2001-02-01","16",1.7,0.2168681785,0.2105527996
"212","2001-02-01","18",1.9,0.4306167006,0.2422781332
"213","2001-02-01","20",1.9,0.105206109,0.4241713327
"214","2001-02-01","21",1.9,0.937818235,0.488396282
"215","2001-02-01","25",1.8,0.285486475,0.982059539
"216","2001-02-01","11",2,0.6713305077,0.2752228841
"217","2001-02-01","11",2,0.8467574681,0.4918285533
"218","2001-02-01","26",2,0.4593703248,0.325064231
"219","2001-02-01","26",2,0.5393678305,0.6251903177
"220","2001-02-01","19",1.8,0.9799683707,0.0067415016
"221","2001-02-01","19",1.9,0.6977723523,0.3379066487
"222","2001-02-01","28",2,0.6563689686,0.1686348253
"223","2001-02-01","31",2,0.6540620835,0.0286105496
"224","2001-02-01","32",1.8,0.2957184451,0.5780746913
"225","2001-03-01","01",2,0.6256992064,0.1943681043
"226","2001-03-01","10",2,0.6253305691,0.3217581979
"227","2001-03-01","07",1.3,0.0900393968,0.3235796046
"228","2001-03-01","05",2.2,0.7819918092,0.249912971
"229","2001-03-01","30",1.8,0.0383439814,0.9198635091
"230","2001-03-01","22",1.8,0.6500327522,0.7825295725
"231","2001-03-01","24",1.7,0.1670701991,0.0081209977
"232","2001-03-01","19",1.6,0.1780654067,0.4739040302
"233","2001-03-01","03",2.2,0.2764115623,0.2715956646
"234","2001-03-01","14",1.6,0.1245245082,0.3392929926
"235","2001-03-01","09",2,0.0408210678,0.1402466446
"236","2001-03-01","15",2,0.6858906186,0.8695247696
"237","2001-03-01","16",1.65,0.8523753533,0.3117769861
"238","2001-03-01","18",1.9,0.7481370093,0.6791709635
"239","2001-03-01","20",1.9,0.2717153034,0.3422330887
"240","2001-03-01","21",1.9,0.3456362772,0.6096403843
"241","2001-03-01","25",2,0.4737378642,0.1323290746
"242","2001-03-01","11",2,0.7238854119,0.6066588698
"243","2001-03-01","11",2.5,0.9628405367,0.5031855942
"244","2001-03-01","26",2,0.5178727572,0.9431218405
"245","2001-03-01","26",2,0.3896172844,0.1654273135
"246","2001-03-01","19",1.8,0.1102713716,0.9552557476
"247","2001-03-01","28",2,0.9016643744,0.9076867034
"248","2001-03-01","31",2,0.0020423415,0.5308356865
"249","2001-03-01","32",1.8,0.8788370996,0.623750934
"250","2001-03-01","01",2,0.3641948882,0.1262764542
"251","2001-03-01","07",1.5,0.5229448251,0.071963519
"252","2001-03-01","10",2.2,0.9875123532,0.8935405707
"253","2001-03-01","05",1.7,0.3158418651,0.7098335577
"254","2001-03-01","30",1.8,0.6826760193,0.9930918942
"255","2001-03-01","22",1.8,0.4276377963,0.6676197027
"256","2001-03-01","24",1.8,0.9474633364,0.3472437973
"257","2001-03-01","14",1.65,0.7237913961,0.1109425257
"258","2001-03-01","03",2.2,0.3504201212,0.1531374101
"259","2001-03-01","09",2,0.7775104678,0.7970731791
"260","2001-03-01","15",2,0.2530291464,0.4544416838
"261","2001-03-01","16",1.65,0.5176199603,0.5270461081
"262","2001-03-01","18",2,0.2133870064,0.8768367857
"263","2001-03-01","20",2,0.8528912234,0.7600689687
"264","2001-03-01","21",1.9,0.7762086186,0.2168085939
"265","2001-03-01","11",2,0.1753731719,0.8146046904
"266","2001-03-01","11",2.5,0.1824933107,0.1762213334
"267","2001-03-01","25",2,0.5987157398,0.8747228605
"268","2001-03-01","26",2,0.5294783936,0.1780992249
"269","2001-03-01","26",2,0.528017948,0.3850348373
"270","2001-03-01","19",1.9,0.2289893073,0.4786486427
"271","2001-03-01","19",1.72,0.3405961996,0.6684871207
"272","2001-03-01","31",2,0.7637620003,0.9613879855
"273","2001-03-01","32",1.8,0.766676989,0.0563942875
"274","2001-03-01","01",2,0.481766504,0.3660648489
"275","2001-03-01","07",1.5,0.0009292485,0.3768821645
"276","2001-03-01","10",2.1,0.993185454,0.5119237903
"277","2001-03-01","05",2.2,0.3202737616,0.2672862548
"278","2001-03-01","30",1.8,0.6072657163,0.5643680243
"279","2001-03-01","22",1.8,0.4835193578,0.1643519934
"280","2001-03-01","24",1.7,0.3762102238,0.2817568746
"281","2001-03-01","19",1.6,0.2975233528,0.6988531666
"282","2001-03-01","14",1.65,0.3032212603,0.2616213872
"283","2001-03-01","03",2.2,0.610588169,0.7994042237
"284","2001-03-01","09",2,0.9472573468,0.3728761547
"285","2001-03-01","15",2,0.6633209365,0.3150358456
"286","2001-03-01","16",1.65,0.3525474441,0.0857433422
"287","2001-03-01","18",1.7,0.1156348347,0.4381501729
"288","2001-03-01","20",2,0.480547011,0.0269254732
"289","2001-03-01","21",1.8,0.2507401821,0.5863253707
"290","2001-03-01","25",2,0.4636174252,0.0587598384
"291","2001-03-01","11",2,0.7698401524,0.2636242468
"292","2001-03-01","11",2.5,0.0391361444,0.9014950824
"293","2001-03-01","26",2,0.8589477125,0.7015278181
"294","2001-03-01","26",2,0.6197904213,0.5497684465
"295","2001-03-01","19",1.9,0.3217858821,0.8283256021
"296","2001-03-01","28",2,0.7574241218,0.8193339295
"297","2001-03-01","31",2,0.1998581881,0.4439360915
"298","2001-03-01","32",1.8,0.9834175188,0.3130338874
"299","2001-03-01","01",2,0.3438967344,0.339544963
"300","2001-03-01","07",1.5,0.9499221805,0.6612034919
"301","2001-03-01","05",2.2,0.1315022044,0.7006484616
"302","2001-03-01","10",2,0.8117959572,0.7861620718
"303","2001-03-01","30",1.8,0.9429073443,0.9239552374
"304","2001-03-01","22",1.8,0.9387569877,0.1641547023
"305","2001-03-01","24",1.7,0.7467886188,0.9879585661
"306","2001-03-01","11",2.3,0.8164844608,0.8679210901
"307","2001-03-01","14",1.65,0.2837119245,0.3635953102
"308","2001-03-01","03",2.2,0.1279537683,0.2707716741
"309","2001-03-01","15",2.1,0.8314802056,0.4208559901
"310","2001-03-01","09",2,0.4612223601,0.5339757333
"311","2001-03-01","16",1.65,0.3730187891,0.2616211298
"312","2001-03-01","18",1.9,0.6208038289,0.5984428208
"313","2001-03-01","20",2,0.4139408692,0.2679442322
"314","2001-03-01","21",1.8,0.3490007782,0.208707798
"315","2001-03-01","11",2,0.1041055851,0.689430014
"316","2001-03-01","25",2,0.2159538394,0.5481574652
"317","2001-03-01","26",2,0.7030839166,0.1844166848
"318","2001-03-01","26",2,0.095626384,0.3352778117
"319","2001-03-01","19",1.8,0.2369286869,0.2777107454
"320","2001-03-01","19",1.75,0.2984218395,0.0928467065
"321","2001-03-01","28",2,0.0497198871,0.5429470563
"322","2001-03-01","31",2,0.9839980827,0.6769971581
"323","2001-03-01","32",1.8,0.7284882975,0.9653631712
"324","2001-04-01","01",2.2,0.9032870725,0.6564112761
"325","2001-04-01","07",1.5,0.8844317187,0.5300716676
"326","2001-04-01","05",2,0.5019655062,0.1242152299
"327","2001-04-01","10",2,0.2682682021,0.186614903
"328","2001-04-01","30",1.8,0.9222676768,0.3644464667
"329","2001-04-01","22",1.9,0.8661978678,0.5379312562
"330","2001-04-01","11",2,0.8908005977,0.7540088566
"331","2001-04-01","19",1.75,0.1361356385,0.7638272234
"332","2001-04-01","24",1.7,0.8216887598,0.9323795976
"333","2001-04-01","14",1.65,0.912187529,0.3585870038
"334","2001-04-01","15",2.1,0.6324203229,0.5353243215
"335","2001-04-01","09",2,0.9262025008,0.0889984742
"336","2001-04-01","16",1.75,0.9040813549,0.4001266893
"337","2001-04-01","18",1.9,0.9062972332,0.5871265464
"338","2001-04-01","20",2,0.4358593278,0.5807436158
"339","2001-04-01","21",1.8,0.9164422963,0.9016422359
"340","2001-04-01","11",2,0.8653390599,0.1032302736
"341","2001-04-01","25",2,0.1415562486,0.2843699114
"342","2001-04-01","26",2.3,0.1976553982,0.5520107455
"343","2001-04-01","26",2.5,0.7129177463,0.0968816385
"344","2001-04-01","19",1.9,0.3008659268,0.5484677277
"345","2001-04-01","28",2,0.9190291584,0.2122077857
"346","2001-04-01","31",2,0.8784647059,0.9920447827
"347","2001-04-01","32",1.8,0.6073142003,0.5012195492
"348","2001-04-01","01",2.2,0.5739420491,0.8325286901
"349","2001-04-01","07",1.5,0.1915096639,0.5569238078
"350","2001-04-01","05",2,0.1770906413,0.8009740315
"351","2001-04-01","10",2,0.8743600937,0.0767426569
"352","2001-04-01","30",1.8,0.332781746,0.1564286398
"353","2001-04-01","11",2.5,0.0605485935,0.2270729994
"354","2001-04-01","22",1.9,0.2419354281,0.1912021834
"355","2001-04-01","19",1.6,0.7688824264,0.6929536872
"356","2001-04-01","24",1.7,0.8642004563,0.6984153454
"357","2001-04-01","14",1.65,0.6928878396,0.4959991011
"358","2001-04-01","15",2,0.6279701203,0.5250001965
"359","2001-04-01","09",2,0.8561182454,0.3782974405
"360","2001-04-01","16",1.75,0.4384129427,0.3297429055
"361","2001-04-01","18",2,0.8949963576,0.3530809229
"362","2001-04-01","20",2,0.930605364,0.6934221505
"363","2001-04-01","21",1.8,0.2402482379,0.5913077401
"364","2001-04-01","11",2,0.0615252921,0.7454446489
"365","2001-04-01","26",2.3,0.4620014438,0.9656856249
"366","2001-04-01","26",2.5,0.0441039854,0.3472732431
"367","2001-04-01","19",1.8,0.4701836543,0.9331308631
"368","2001-04-01","28",2,0.5241668742,0.9213824987
"369","2001-04-01","31",2,0.4133147698,0.9823734312
"370","2001-04-01","32",1.8,0.6582913104,0.8229341313
"371","2001-04-01","01",2.2,0.5805666884,0.5083855798
"372","2001-04-01","07",1.5,0.169818599,0.0280734915
"373","2001-04-01","10",2,0.8731323664,0.0788628207
"374","2001-04-01","05",2,0.1978465428,0.3046373428
"375","2001-04-01","30",1.8,0.2345048562,0.9976466362
"376","2001-04-01","11",2.2,0.4542488998,0.6566375265
"377","2001-04-01","14",1.65,0.422109545,0.2112787173
"378","2001-04-01","24",1.73,0.2228884094,0.9335847427
"379","2001-04-01","15",2,0.2232840607,0.2958447575
"380","2001-04-01","09",2,0.9920954779,0.2604711213
"381","2001-04-01","16",1.75,0.4092947375,0.9916190385
"382","2001-04-01","18",1.9,0.5530666639,0.6654814251
"383","2001-04-01","20",2,0.7678350375,0.0961523008
"384","2001-04-01","21",1.8,0.3838409234,0.7238542562
"385","2001-04-01","11",2,0.8114578106,0.8676698215
"386","2001-04-01","25",2,0.8513893036,0.0011265861
"387","2001-04-01","26",2.3,0.1081090311,0.8832548935
"388","2001-04-01","26",2.5,0.7561952945,0.9885129172
"389","2001-04-01","19",1.9,0.0528740696,0.0451434757
"390","2001-04-01","19",1.75,0.8819898358,0.0052252419
"391","2001-04-01","28",2,0.4472623599,0.760593821
"392","2001-04-01","31",2,0.1810561394,0.1712466637
"393","2001-04-01","32",1.8,0.7764013831,0.7514656251
"394","2001-04-01","22",1.8,0.9090278767,0.5971473498
"395","2001-04-01","01",2.2,0.4874114686,0.50513627
"396","2001-04-01","07",1.5,0.2300562113,0.9689708244
"397","2001-04-01","10",2.2,0.0562658954,0.8839963987
"398","2001-04-01","05",2,0.9004311578,0.0642021154
"399","2001-04-01","30",1.8,0.7512987181,0.9330320231
"400","2001-04-01","22",1.9,0.4346358262,0.928806215
"401","2001-04-01","24",1.73,0.1832772696,0.6794212631
"402","2001-04-01","14",1.65,0.4297989219,0.9557267056
"403","2001-04-01","09",2,0.4659192303,0.9940842929
"404","2001-04-01","15",2,0.1583029705,0.7213903099
"405","2001-04-01","16",1.75,0.0686378145,0.362208784
"406","2001-04-01","18",1.8,0.0904576758,0.2214245345
"407","2001-04-01","20",2,0.5862315572,0.5011546518
"408","2001-04-01","21",1.8,0.6120366351,0.9893521595
"409","2001-04-01","25",2,0.7203007231,0.9676282091
"410","2001-04-01","11",2,0.1534999755,0.5289460498
"411","2001-04-01","11",2.5,0.2129037226,0.2451637063
"412","2001-04-01","26",2.3,0.3461057775,0.0302720655
"413","2001-04-01","26",2.5,0.6474579353,0.1819650484
"414","2001-04-01","19",1.8,0.2615621236,0.365351103
"415","2001-04-01","19",1.75,0.4717743014,0.7450624705
"416","2001-04-01","28",2,0.7211675932,0.8128653318
"417","2001-04-01","31",2,0.7772909159,0.8232003773
"418","2001-04-01","32",1.8,0.5507388139,0.7498871578
"419","2001-05-01","01",2.2,0.029000203,0.1768166142
"420","2001-05-01","07",1.5,0.053719144,0.2560586423
"421","2001-05-01","05",2.4,0.5942885546,0.6656141328
"422","2001-05-01","10",2.2,0.7118821651,0.0402347551
"423","2001-05-01","30",1.8,0.9264799086,0.0127203931
"424","2001-05-01","22",1.9,0.5875351572,0.9060011699
"425","2001-05-01","19",2,0.4583467069,0.9643627956
"426","2001-05-01","24",1.7,0.2417464164,0.6878282289
"427","2001-05-01","14",1.65,0.3782785563,0.7432066928
"428","2001-05-01","15",2,0.0232332577,0.2690364866
"429","2001-05-01","09",2,0.6502593026,0.5363136869
"430","2001-05-01","16",1.75,0.9891036186,0.6591508043
"431","2001-05-01","18",1.9,0.2142830406,0.1068485928
"432","2001-05-01","20",2,0.474418285,0.0665272748
"433","2001-05-01","21",1.8,0.3517925388,0.3902192475
"434","2001-05-01","11",2,0.4140772406,0.4746996278
"435","2001-05-01","11",2.5,0.6026547826,0.3985718317
"436","2001-05-01","25",2.2,0.9339182461,0.8098636773
"437","2001-05-01","26",2.3,0.142185086,0.5604234177
"438","2001-05-01","26",2.5,0.8167268414,0.9093182595
"439","2001-05-01","19",1.75,0.7160581683,0.6394950354
"440","2001-05-01","31",2,0.7271926639,0.0350151521
"441","2001-05-01","32",1.8,0.8892662503,0.7314827281
"442","2001-05-01","01",2.2,0.7025204375,0.6207760179
"443","2001-05-01","07",2,0.2224538504,0.2552588765
"444","2001-05-01","05",2.2,0.1857179139,0.4864056003
"445","2001-05-01","10",2.2,0.8595542313,0.7436027644
"446","2001-05-01","30",1.8,0.7475572071,0.7417202582
"447","2001-05-01","22",1.9,0.7411780088,0.9770806093
"448","2001-05-01","24",1.7,0.8801548517,0.0859903971
"449","2001-05-01","14",1.7,0.8259887911,0.3893762217
"450","2001-05-01","15",2.1,0.9752441496,0.7957686627
"451","2001-05-01","09",2,0.2948775634,0.1580999858
"452","2001-05-01","16",1.75,0.3834125489,0.2608806723
"453","2001-05-01","18",1.9,0.0369556896,0.3220378877
"454","2001-05-01","20",2,0.4190201248,0.0774022469
"455","2001-05-01","21",1.8,0.5892250395,0.0084493645
"456","2001-05-01","11",2,0.3327693153,0.0646173295
"457","2001-05-01","11",2.5,0.3900910904,0.0822458696
"458","2001-05-01","25",2.2,0.423823339,0.9005702355
"459","2001-05-01","26",2.3,0.2218336456,0.0639479629
"460","2001-05-01","26",2.5,0.7444889042,0.4465179104
"461","2001-05-01","19",1.8,0.5226231346,0.5256060976
"462","2001-05-01","19",1.5,0.6853190611,0.7445293552
"463","2001-05-01","28",2,0.2456683904,0.5819019144
"464","2001-05-01","31",2,0.8800924243,0.186051715
"465","2001-05-01","32",1.8,0.7075452747,0.5445843485
"466","2001-05-01","01",2.2,0.539173871,0.9805903036
"467","2001-05-01","07",2,0.568246771,0.8913095547
"468","2001-05-01","05",2.2,0.0047819115,0.9611956211
"469","2001-05-01","10",2.2,0.5236901735,0.1694756896
"470","2001-05-01","30",1.8,0.8093724836,0.1724928708
"471","2001-05-01","22",1.9,0.6247969808,0.7405270013
"472","2001-05-01","19",1.9,0.8172937881,0.1464114422
"473","2001-05-01","24",1.7,0.9746816017,0.5383299429
"474","2001-05-01","14",1.7,0.4881297991,0.732293066
"475","2001-05-01","15",2.1,0.5086267302,0.9677464639
"476","2001-05-01","09",2,0.5630119439,0.9934567839
